Nome;Gênero;Data Nascimento;Idade;Nível;Escolaridade;Área;Salário;Data Admissão;Data Demissão;Contrato;Motivo Demissão;PCD;Alimentação;Saúde;Odont;Transporte;Creche;Combustível;Benefícios;Mês_admissão;Mês_demissão;Status;Faixa_Idade;Tempo_dias;Faixa_dias
Dominica Chittie;Feminino;22/11/1970;54;Assistente;Ensino Médio;Financeiro;2500;19/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;;45-54;315;270-364
Reinwald Bellison;Masculino;27/05/1983;41;Coordenador;Ensino Superior;Administração;10000;19/02/2019;;CLT;;Sim;1200;1200;1200;1200;500;500;5800;2;-;;35-44;315;270-364
Hettie Scanlan;Feminino;27/02/2000;24;Coordenador;Mestrado;Logística;10000;20/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;24-34;314;270-364
Hope Tuddenham;Feminino;18/06/1963;61;Supervisor;Pós-graduação;Marketing;7000;21/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;55-64;313;270-364
Susanna Ferenczi;Feminino;25/07/1961;63;Gerente;Ensino Superior;Logística;15000;21/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;55-64;313;270-364
Papagena Neame;Feminino;09/08/1969;55;Supervisor;Pós-graduação;Operações;7000;21/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;55-64;313;270-364
Claudius Swadling;Masculino;14/02/1977;47;Assistente;Ensino Técnico;Produção;2500;21/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;;45-54;313;270-364
Pippy Abbyss;Feminino;08/06/1996;28;Supervisor;Pós-graduação;Financeiro;7000;22/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;24-34;312;270-364
Boony Pickersail;Masculino;02/11/1969;55;Analista Jr;Ensino Médio;Marketing;3500;22/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;;55-64;312;270-364
Shaughn Minillo;Masculino;05/10/1971;53;Estagiário;Ensino Médio;Financeiro;1200;22/02/2019;;Estágio;;;200;200;200;200;;;800;2;-;;45-54;312;270-364
Roy Osmund;Masculino;13/08/1995;29;Estagiário;Ensino Médio;Marketing;1200;22/02/2019;;Estágio;;;200;200;200;200;500;;1300;2;-;;24-34;312;270-364
Jaimie Maroney;Masculino;07/03/1976;48;Supervisor;Ensino Técnico;Operações;7000;23/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;45-54;311;270-364
Deena Rodenburgh;Feminino;18/03/1968;56;Analista Jr;Pós-graduação;Logística;3500;23/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;;55-64;311;270-364
Rogers Jessel;Masculino;19/07/1995;29;Assistente;Ensino Superior;Operações;2500;24/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;;24-34;310;270-364
Tynan Beekman;Masculino;09/07/1995;29;Analista Jr;Ensino Técnico;Produção;3500;24/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;;24-34;310;270-364
Candida Doag;Feminino;15/03/1962;62;Analista Jr;Ensino Técnico;Operações;3500;25/02/2019;03/06/2019;CLT;Demissão Voluntária;;600;600;600;600;;;2400;2;6;;55-64;98;86-176
Malory Collete;Feminino;10/08/1985;39;Analista Sr;Ensino Médio;TI;5000;25/02/2019;;CLT;;;600;600;600;600;;500;2900;2;-;;35-44;309;270-364
Fidelio Mingus;Masculino;14/12/1977;47;Supervisor;Ensino Técnico;Marketing;7000;25/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;45-54;309;270-364
Bessy Pantone;Feminino;29/11/1990;34;Supervisor;Ensino Superior;TI;7000;27/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;24-34;307;270-364
Marthe MacDearmid;Feminino;13/07/1971;53;Assistente;Ensino Superior;Recursos Humanos;2500;28/02/2019;19/04/2019;CLT;Demissão Voluntária;Sim;600;600;600;600;;;2400;2;4;;45-54;50;1-85
Humbert Coombes;Masculino;26/03/1981;43;Analista Sr;Ensino Superior;TI;5000;28/02/2019;28/04/2019;CLT;Demissão Involuntária;;600;600;600;600;;500;2900;2;4;;35-44;59;1-85
Deanna Amor;Feminino;03/12/1961;63;Estagiário;Ensino Médio;Logística;1200;01/03/2019;;Estágio;;;200;200;200;200;;;800;3;-;;55-64;305;270-364
Devy McCrea;Masculino;28/08/1990;34;Supervisor;Ensino Superior;Marketing;7000;02/03/2019;21/05/2019;CLT;Demissão Voluntária;;1200;1200;1200;1200;500;500;5800;3;5;;24-34;80;1-85
Larry Robbs;Masculino;29/12/1968;56;Analista Jr;Ensino Técnico;Marketing;3500;02/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;55-64;304;270-364
Luis Wesgate;Masculino;13/01/1972;52;Estagiário;Ensino Médio;Vendas;1200;02/03/2019;;Estágio;;;200;200;200;200;;;800;3;-;;45-54;304;270-364
Dian Billett;Feminino;29/10/1973;51;Supervisor;Ensino Superior;Produção;7000;02/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;45-54;304;270-364
Patience Eastlake;Feminino;27/11/1995;29;Assistente;Ensino Superior;Recursos Humanos;2500;03/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;Férias;24-34;303;270-364
Savina Sarfass;Feminino;25/09/1997;27;Analista Jr;Ensino Médio;TI;3500;03/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;24-34;303;270-364
Craggie Nairy;Masculino;23/01/1990;34;Analista Jr;Pós-graduação;Marketing;3500;03/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;24-34;303;270-364
Jocelyne Yetman;Feminino;04/02/2000;24;Analista Sr;Pós-graduação;Financeiro;5000;03/03/2019;;CLT;;;600;600;600;600;;500;2900;3;-;;24-34;303;270-364
Abramo Blundell;Masculino;11/11/1972;52;Gerente;Mestrado;Financeiro;15000;03/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;45-54;303;270-364
Stern Woodgate;Masculino;03/10/1983;41;Analista Sr;Ensino Técnico;Logística;5000;04/03/2019;;CLT;;;600;600;600;600;;500;2900;3;-;;35-44;302;270-364
Debra Sturridge;Feminino;18/04/1981;43;Analista Jr;Ensino Médio;Marketing;3500;04/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;35-44;302;270-364
Bethanne Lackham;Feminino;06/04/1966;58;Estagiário;Ensino Técnico;Financeiro;1200;04/03/2019;;Estágio;;;200;200;200;200;;;800;3;-;;55-64;302;270-364
Bryon McSweeney;Masculino;23/04/1963;61;Analista Jr;Ensino Superior;Marketing;3500;04/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;55-64;302;270-364
Adria Dufour;Feminino;26/01/1990;34;Supervisor;Ensino Técnico;Logística;7000;05/03/2019;;CLT;;;1200;1200;1200;1200;500;500;5800;3;-;;24-34;301;270-364
Phyllida Brownsall;Feminino;03/04/1963;61;Analista Jr;Ensino Superior;Operações;3500;05/03/2019;;CLT;;Sim;600;600;600;600;;;2400;3;-;;55-64;301;270-364
Babbie Hulkes;Feminino;22/01/1973;51;Assistente;Ensino Médio;Logística;2500;05/03/2019;;CLT;;;600;600;600;600;500;;2900;3;-;;45-54;301;270-364
Ignace Bristo;Masculino;27/02/1968;56;Supervisor;Mestrado;Produção;7000;05/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;55-64;301;270-364
Elisabetta Dinnis;Feminino;02/01/1977;47;Assistente;Ensino Técnico;Administração;2500;06/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;45-54;300;270-364
Blair Drinkhill;Masculino;05/10/1962;62;Coordenador;Ensino Técnico;Vendas;10000;06/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;55-64;300;270-364
Glenden Toffetto;Masculino;11/05/1985;39;Analista Jr;Ensino Superior;Administração;3500;06/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;35-44;300;270-364
Giulio Lohmeyer;Masculino;17/01/1974;50;Supervisor;Pós-graduação;Financeiro;7000;06/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;45-54;300;270-364
Kellie Skarr;Feminino;15/08/1965;59;Assistente;Ensino Médio;Vendas;2500;06/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;55-64;300;270-364
Morty Malyan;Masculino;15/01/1978;46;Coordenador;Ensino Técnico;Administração;10000;07/03/2019;;CLT;;;1200;1200;1200;1200;500;500;5800;3;-;Férias;45-54;299;270-364
Alvy Wisdom;Masculino;10/10/1985;39;Analista Sr;Ensino Técnico;Vendas;5000;07/03/2019;;CLT;;;600;600;600;600;;500;2900;3;-;;35-44;299;270-364
Guilbert Phelipeau;Masculino;16/05/1984;40;Analista Jr;Pós-graduação;Produção;3500;08/03/2019;;CLT;;Sim;600;600;600;600;;;2400;3;-;;35-44;298;270-364
Delaney Stickells;Masculino;25/06/1971;53;Assistente;Ensino Superior;TI;2500;08/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;45-54;298;270-364
Kimbell Winnard;Masculino;20/11/1964;60;Gerente;Pós-graduação;Vendas;15000;08/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;55-64;298;270-364
Stefano Davidzon;Masculino;12/11/1972;52;Gerente;Mestrado;Financeiro;15000;08/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;45-54;298;270-364
Olia Moyse;Feminino;01/01/1974;50;Gerente;Mestrado;TI;15000;08/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;45-54;298;270-364
Enrica Crosseland;Feminino;01/01/1970;54;Analista Jr;Ensino Técnico;Operações;3500;09/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;45-54;297;270-364
Johan Hollyar;Masculino;14/08/1981;43;Coordenador;Ensino Técnico;Operações;10000;09/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;35-44;297;270-364
Agna Rapps;Feminino;15/07/1965;59;Analista Jr;Ensino Superior;Produção;3500;12/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;55-64;294;270-364
Phylys Philipeaux;Feminino;16/07/1997;27;Estagiário;Ensino Técnico;Marketing;1200;12/03/2019;;Estágio;;Sim;200;200;200;200;;;800;3;-;;24-34;294;270-364
Margarethe Revan;Feminino;11/05/1990;34;Analista Jr;Ensino Superior;Vendas;3500;12/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;24-34;294;270-364
Annora Chapelhow;Feminino;02/09/1975;49;Analista Sr;Pós-graduação;Logística;5000;12/03/2019;;CLT;;Sim;600;600;600;600;;500;2900;3;-;;45-54;294;270-364
Ina Prewer;Feminino;07/01/1963;61;Supervisor;Mestrado;Marketing;7000;13/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;55-64;293;270-364
Lucilia Sollime;Feminino;04/10/1961;63;Analista Jr;Ensino Técnico;Produção;3500;13/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;55-64;293;270-364
Christoforo Pelham;Masculino;03/10/1975;49;Analista Jr;Ensino Técnico;Vendas;3500;13/03/2019;;CLT;;Sim;600;600;600;600;;;2400;3;-;;45-54;293;270-364
Geordie Bettington;Masculino;27/12/1988;36;Gerente;Mestrado;Logística;15000;13/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;35-44;293;270-364
Debbie Shingles;Feminino;20/11/1994;30;Gerente;Ensino Médio;Operações;15000;14/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;24-34;292;270-364
Brigitte Gowlett;Feminino;14/05/1973;51;Coordenador;Pós-graduação;Marketing;10000;14/03/2019;;CLT;;;1200;1200;1200;1200;500;500;5800;3;-;;45-54;292;270-364
Nickey Limer;Masculino;06/10/1965;59;Gerente;Mestrado;Recursos Humanos;15000;15/03/2019;09/07/2019;CLT;Demissão Involuntária;;1200;1200;1200;1200;;500;5300;3;7;;55-64;116;86-176
Birgit Dockwra;Feminino;23/09/1996;28;Assistente;Ensino Superior;Logística;2500;15/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;24-34;291;270-364
Alix Skully;Feminino;24/06/1983;41;Supervisor;Pós-graduação;Financeiro;7000;16/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;35-44;290;270-364
Jane Crane;Feminino;04/06/1972;52;Analista Sr;Ensino Superior;Administração;5000;16/03/2019;;CLT;;;600;600;600;600;;500;2900;3;-;;45-54;290;270-364
Guntar Mathews;Masculino;30/06/1985;39;Estagiário;Ensino Técnico;Operações;1200;16/03/2019;;Estágio;;;200;200;200;200;;;800;3;-;;35-44;290;270-364
Cash Gannon;Masculino;13/01/1964;60;Supervisor;Ensino Superior;Operações;7000;17/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;55-64;289;270-364
Yorgos Yellowlee;Masculino;06/07/1978;46;Gerente;Ensino Técnico;Recursos Humanos;15000;18/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;45-54;288;270-364
Kissee Quested;Feminino;02/02/1994;30;Analista Jr;Ensino Técnico;Logística;3500;18/03/2019;;CLT;;Sim;600;600;600;600;;;2400;3;-;;24-34;288;270-364
Vassily Constantinou;Masculino;08/06/1972;52;Analista Jr;Pós-graduação;Recursos Humanos;3500;19/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;45-54;287;270-364
Andromache Spering;Feminino;21/01/1977;47;Coordenador;Mestrado;Operações;10000;19/03/2019;;CLT;;Sim;1200;1200;1200;1200;;500;5300;3;-;;45-54;287;270-364
Ky Broxup;Masculino;10/01/1977;47;Estagiário;Ensino Técnico;Marketing;1200;20/03/2019;;Estágio;;;200;200;200;200;;;800;3;-;;45-54;286;270-364
Ailbert Gresly;Masculino;04/09/1979;45;Analista Jr;Ensino Superior;Operações;3500;20/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;45-54;286;270-364
Elbert Curme;Masculino;08/11/1966;58;Coordenador;Ensino Superior;Administração;10000;20/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;55-64;286;270-364
Demetria Gollard;Feminino;24/08/1976;48;Analista Jr;Ensino Médio;Vendas;3500;20/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;Férias;45-54;286;270-364
Lucienne Scothorn;Feminino;27/05/1990;34;Analista Jr;Pós-graduação;Operações;3500;20/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;24-34;286;270-364
Matti Syplus;Feminino;28/11/1998;26;Supervisor;Ensino Superior;Administração;7000;20/03/2019;;CLT;;Sim;1200;1200;1200;1200;;500;5300;3;-;;24-34;286;270-364
Horatia Voff;Feminino;26/09/1965;59;Coordenador;Mestrado;Produção;10000;21/03/2019;;CLT;;Sim;1200;1200;1200;1200;;500;5300;3;-;;55-64;285;270-364
Sergent Osmar;Masculino;11/12/1968;56;Gerente;Ensino Superior;Financeiro;15000;21/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;55-64;285;270-364
Spence Suggate;Masculino;21/01/1982;42;Analista Sr;Pós-graduação;Vendas;5000;21/03/2019;;CLT;;;600;600;600;600;;500;2900;3;-;;35-44;285;270-364
Eddie Champagne;Masculino;05/09/1994;30;Coordenador;Mestrado;Vendas;10000;22/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;24-34;284;270-364
Catha Lesek;Feminino;08/12/1994;30;Assistente;Ensino Superior;TI;2500;22/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;24-34;284;270-364
Asa Ibbs;Masculino;22/10/1984;40;Estagiário;Ensino Técnico;Operações;1200;22/03/2019;;Estágio;;;200;200;200;200;;;800;3;-;;35-44;284;270-364
Nathanael Byforth;Masculino;28/04/2000;24;Coordenador;Mestrado;Recursos Humanos;10000;22/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;24-34;284;270-364
Daryl Lahrs;Masculino;30/09/1977;47;Gerente;Ensino Médio;Produção;15000;23/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;45-54;283;270-364
Becka Glennard;Feminino;08/12/1969;55;Coordenador;Pós-graduação;Produção;10000;23/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;55-64;283;270-364
Fannie Pietrzak;Feminino;22/08/1983;41;Assistente;Ensino Técnico;Vendas;2500;23/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;35-44;283;270-364
Olga Labbett;Feminino;21/03/1977;47;Analista Sr;Ensino Técnico;Recursos Humanos;5000;24/03/2019;;CLT;;;600;600;600;600;;500;2900;3;-;;45-54;282;270-364
Sindee Dawe;Feminino;26/11/1994;30;Assistente;Ensino Superior;Financeiro;2500;24/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;24-34;282;270-364
Raddy Winters;Masculino;13/05/1979;45;Gerente;Pós-graduação;TI;15000;24/03/2019;07/06/2019;CLT;Demissão Voluntária;;1200;1200;1200;1200;;500;5300;3;6;;45-54;75;1-85
Sutherlan Russen;Masculino;19/11/1987;37;Coordenador;Mestrado;Financeiro;10000;24/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;35-44;282;270-364
Daven Grindall;Masculino;02/01/1975;49;Analista Jr;Ensino Técnico;Administração;3500;25/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;45-54;281;270-364
Dex Gabe;Masculino;29/12/1994;30;Gerente;Mestrado;Administração;15000;25/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;24-34;281;270-364
August Carlile;Masculino;11/09/1962;62;Assistente;Ensino Técnico;Marketing;2500;25/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;55-64;281;270-364
Jeanna Claringbold;Feminino;01/08/1989;35;Coordenador;Ensino Técnico;Administração;10000;25/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;35-44;281;270-364
Elsa Coiley;Feminino;21/08/1995;29;Coordenador;Ensino Superior;TI;10000;26/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;24-34;280;270-364
Mischa Davidsen;Masculino;11/02/1983;41;Coordenador;Ensino Superior;Marketing;10000;26/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;35-44;280;270-364
Ellwood Mathieu;Masculino;03/02/1974;50;Analista Sr;Pós-graduação;Operações;5000;27/03/2019;;CLT;;Sim;600;600;600;600;;500;2900;3;-;;45-54;279;270-364
Ricoriki Oen;Masculino;17/10/1997;27;Gerente;Ensino Técnico;Operações;15000;27/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;Férias;24-34;279;270-364
Whitby Hurcombe;Masculino;07/08/1967;57;Coordenador;Ensino Técnico;Administração;10000;28/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;55-64;278;270-364
Dallas Phillips;Masculino;21/12/1975;49;Analista Jr;Ensino Superior;TI;3500;28/03/2019;;CLT;;;600;600;600;600;;;2400;3;-;;45-54;278;270-364
Alexander Aplin;Masculino;30/01/1964;60;Supervisor;Ensino Superior;Marketing;7000;29/03/2019;;CLT;;Sim;1200;1200;1200;1200;;500;5300;3;-;;55-64;277;270-364
Christian Dochon;Feminino;25/02/1976;48;Analista Sr;Ensino Superior;Financeiro;5000;30/03/2019;;CLT;;Sim;600;600;600;600;;500;2900;3;-;;45-54;276;270-364
Hayes Peat;Masculino;21/04/1989;35;Estagiário;Ensino Técnico;Produção;1200;30/03/2019;;Estágio;;;200;200;200;200;;;800;3;-;;35-44;276;270-364
Perl Fever;Feminino;12/04/1972;52;Gerente;Mestrado;Produção;15000;30/03/2019;;CLT;;;1200;1200;1200;1200;;500;5300;3;-;;45-54;276;270-364
Mike Sommerled;Masculino;25/05/1982;42;Analista Sr;Ensino Técnico;Vendas;5000;31/03/2019;;CLT;;Sim;600;600;600;600;;500;2900;3;-;Férias;35-44;275;270-364
Court Gouldthorpe;Masculino;18/01/1975;49;Analista Sr;Ensino Superior;Vendas;5000;01/04/2019;;CLT;;;600;600;600;600;;500;2900;4;-;;45-54;274;270-364
Mag Taffie;Feminino;24/04/1994;30;Coordenador;Mestrado;Logística;10000;01/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;24-34;274;270-364
Johna Urien;Feminino;08/03/1979;45;Assistente;Ensino Técnico;Logística;2500;02/04/2019;;CLT;;;600;600;600;600;;;2400;4;-;;45-54;273;270-364
Mandel Bart;Masculino;02/12/1988;36;Supervisor;Ensino Médio;Administração;7000;02/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;35-44;273;270-364
Jobyna Marskell;Feminino;16/10/1985;39;Gerente;Pós-graduação;Operações;15000;03/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;35-44;272;270-364
Marilyn Pashler;Feminino;07/08/1989;35;Assistente;Ensino Médio;Marketing;2500;03/04/2019;;CLT;;;600;600;600;600;;;2400;4;-;;35-44;272;270-364
Berne Daymont;Masculino;09/02/1974;50;Supervisor;Ensino Superior;Financeiro;7000;03/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;45-54;272;270-364
Shepard Shurmore;Masculino;29/04/1990;34;Analista Sr;Ensino Técnico;Administração;5000;04/04/2019;;CLT;;Sim;600;600;600;600;;500;2900;4;-;;24-34;271;270-364
Kevon Bew;Masculino;14/05/2000;24;Assistente;Ensino Técnico;Financeiro;2500;04/04/2019;;CLT;;;600;600;600;600;;;2400;4;-;;24-34;271;270-364
Jerrilee Scramage;Feminino;10/05/1974;50;Analista Jr;Ensino Técnico;TI;3500;05/04/2019;02/06/2019;CLT;Demissão Involuntária;;600;600;600;600;;;2400;4;6;Férias;45-54;58;1-85
Blisse Gronno;Feminino;26/06/1986;38;Analista Jr;Ensino Superior;Produção;3500;05/04/2019;;CLT;;;600;600;600;600;;;2400;4;-;;35-44;270;270-364
Judye Bearblock;Feminino;21/09/1969;55;Gerente;Pós-graduação;Vendas;15000;06/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;55-64;269;177-269
Constanta Hrycek;Feminino;09/11/1974;50;Analista Jr;Ensino Superior;TI;3500;06/04/2019;;CLT;;;600;600;600;600;;;2400;4;-;;45-54;269;177-269
Franklin Gutans;Masculino;16/01/1995;29;Analista Sr;Ensino Técnico;Logística;5000;06/04/2019;;CLT;;;600;600;600;600;;500;2900;4;-;;24-34;269;177-269
Vernen Karolewski;Masculino;20/10/1997;27;Analista Jr;Ensino Médio;Administração;3500;06/04/2019;;CLT;;;600;600;600;600;;;2400;4;-;;24-34;269;177-269
Jo ann McLenaghan;Feminino;18/04/1970;54;Assistente;Ensino Superior;Financeiro;2500;06/04/2019;;CLT;;;600;600;600;600;;;2400;4;-;;45-54;269;177-269
Mariejeanne Gabbitas;Feminino;02/12/1994;30;Analista Sr;Pós-graduação;Logística;5000;07/04/2019;;CLT;;;600;600;600;600;;500;2900;4;-;;24-34;268;177-269
Virgil Olland;Masculino;01/05/1983;41;Coordenador;Pós-graduação;Administração;10000;07/04/2019;;CLT;;Sim;1200;1200;1200;1200;;500;5300;4;-;;35-44;268;177-269
Cos Winsper;Masculino;24/11/1967;57;Estagiário;Ensino Técnico;TI;1200;07/04/2019;;Estágio;;;200;200;200;200;;;800;4;-;;55-64;268;177-269
Blithe Duhig;Feminino;29/07/1989;35;Coordenador;Pós-graduação;Marketing;10000;08/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;35-44;267;177-269
Bartlett Darnbrough;Masculino;02/07/1968;56;Assistente;Ensino Técnico;Operações;2500;08/04/2019;;CLT;;Sim;600;600;600;600;;;2400;4;-;;55-64;267;177-269
Barrie Tulloch;Feminino;20/12/1980;44;Coordenador;Ensino Superior;Administração;10000;08/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;35-44;267;177-269
Shepherd Alekseicik;Masculino;02/10/1982;42;Assistente;Ensino Médio;Financeiro;2500;09/04/2019;;CLT;;;600;600;600;600;;;2400;4;-;;35-44;266;177-269
Davis Joliffe;Masculino;20/06/1970;54;Supervisor;Pós-graduação;Financeiro;7000;09/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;45-54;266;177-269
Boycie Noon;Masculino;28/01/1966;58;Gerente;Ensino Médio;Marketing;15000;11/04/2019;;CLT;;;1200;1200;1200;1200;500;500;5800;4;-;;55-64;264;177-269
Brenden Ivanyukov;Masculino;11/05/1983;41;Estagiário;Ensino Técnico;Financeiro;1200;11/04/2019;;Estágio;;;200;200;200;200;;;800;4;-;Férias;35-44;264;177-269
Piggy Dunkinson;Masculino;04/02/1995;29;Coordenador;Mestrado;Operações;10000;12/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;24-34;263;177-269
Mikel Drife;Masculino;23/12/1975;49;Supervisor;Ensino Superior;Administração;7000;12/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;45-54;263;177-269
Hilario Lavington;Masculino;02/12/1970;54;Coordenador;Ensino Superior;Logística;10000;13/04/2019;08/07/2019;CLT;Demissão Involuntária;;1200;1200;1200;1200;;500;5300;4;7;;45-54;86;86-176
Griffin Everitt;Masculino;13/04/1997;27;Analista Jr;Ensino Técnico;Administração;3500;14/04/2019;;CLT;;;600;600;600;600;;;2400;4;-;;24-34;261;177-269
Anestassia Gonin;Feminino;02/12/1986;38;Gerente;Ensino Médio;Recursos Humanos;15000;14/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;35-44;261;177-269
Renee Dronsfield;Feminino;06/06/1989;35;Coordenador;Ensino Técnico;Operações;10000;14/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;35-44;261;177-269
Dagny Haster;Masculino;28/10/1978;46;Assistente;Ensino Superior;Logística;2500;15/04/2019;;CLT;;;600;600;600;600;;;2400;4;-;;45-54;260;177-269
Drud Maccrae;Masculino;07/01/1981;43;Estagiário;Ensino Médio;Marketing;1200;16/04/2019;;Estágio;;Sim;200;200;200;200;;;800;4;-;Licença;35-44;259;177-269
Bank Myles;Masculino;27/01/1969;55;Gerente;Ensino Técnico;TI;15000;16/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;55-64;259;177-269
Penny Frantsev;Feminino;18/11/1979;45;Assistente;Ensino Superior;Operações;2500;16/04/2019;;CLT;;;600;600;600;600;;;2400;4;-;;45-54;259;177-269
Tara Renfree;Feminino;05/08/1987;37;Supervisor;Ensino Técnico;Financeiro;7000;16/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;35-44;259;177-269
Maegan Beddard;Feminino;29/09/1970;54;Supervisor;Ensino Superior;Operações;7000;16/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;45-54;259;177-269
Jodie Grodden;Masculino;08/03/1974;50;Gerente;Ensino Médio;Operações;15000;16/04/2019;;CLT;;Sim;1200;1200;1200;1200;500;500;5800;4;-;;45-54;259;177-269
Glad Rippingale;Feminino;21/12/1986;38;Coordenador;Ensino Superior;Financeiro;10000;16/04/2019;05/08/2019;CLT;Demissão Voluntária;;1200;1200;1200;1200;;500;5300;4;8;;35-44;111;86-176
Shina Luciani;Feminino;03/05/1994;30;Analista Sr;Pós-graduação;Marketing;5000;16/04/2019;;CLT;;;600;600;600;600;;500;2900;4;-;;24-34;259;177-269
Othello Tredwell;Masculino;15/08/1982;42;Analista Sr;Ensino Superior;Marketing;5000;17/04/2019;;CLT;;;600;600;600;600;500;500;3400;4;-;;35-44;258;177-269
Brande Longcaster;Feminino;21/03/1979;45;Analista Sr;Pós-graduação;Recursos Humanos;5000;17/04/2019;;CLT;;Sim;600;600;600;600;;500;2900;4;-;;45-54;258;177-269
Ariel McMillan;Feminino;23/11/1968;56;Analista Sr;Ensino Médio;Logística;5000;17/04/2019;20/06/2019;CLT;Demissão Involuntária;;600;600;600;600;;500;2900;4;6;;55-64;64;1-85
